id,phy,clas,ord,fam,gen,tx,txa
69,Mollusca,Gastropoda,Littorinimorpha,Eulimidae,Aclis,Aclis sarsi,Aclis sarsi
70,Mollusca,Gastropoda,Littorinimorpha,Eulimidae,Aclis,Aclis walleri,Aclis walleri
72,Mollusca,Gastropoda,,Acmaeidae,,Acmaeidae,Acmaeidae
74,Arthropoda,Hexanauplia,Harpacticoida,Cletodidae,Acrenhydrosoma,Acrenhydrosoma perplexum,Acrenhydrosoma perplexum
75,Annelida,Polychaeta,Terebellida,Acrocirridae,,Acrocirridae,Acrocirridae
76,Annelida,Polychaeta,Terebellida,Acrocirridae,Acrocirrus,Acrocirrus,Acrocirrus
77,Annelida,Polychaeta,Terebellida,Acrocirridae,Acrocirrus,Acrocirrus frontifilis,Acrocirrus frontifilis
78,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Acrocnida,Acrocnida brachiata,Acrocnida brachiata
79,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Acrocnida,Acrocnida branchiata,Acrocnida brachiata
85,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Acrocnida,Acronida brachiata,Acrocnida brachiata
370,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Acrocnida,Amphiura brachiata,Acrocnida brachiata
80,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Acrocnida,Acrocnida spatulispina,Acrocnida spatulispina
4244,Annelida,Polychaeta,Sabellida,Sabellidae,Acromegalomma,Megalomma,Acromegalomma
81,Annelida,Polychaeta,Sabellida,Sabellidae,Acromegalomma,Acromegalomma claparedei,Acromegalomma claparedei
82,Annelida,Polychaeta,Sabellida,Sabellidae,Acromegalomma,Acromegalomma lanigerum,Acromegalomma lanigerum
83,Annelida,Polychaeta,Sabellida,Sabellidae,Acromegalomma,Acromegalomma messapicum,Acromegalomma messapicum
84,Annelida,Polychaeta,Sabellida,Sabellidae,Acromegalomma,Acromegalomma vesiculosum,Acromegalomma vesiculosum
4245,Annelida,Polychaeta,Sabellida,Sabellidae,Acromegalomma,Megalomma vesiculosum,Acromegalomma vesiculosum
86,Mollusca,Gastropoda,,Acteonidae,Acteon,Acteon tornatilis,Acteon tornatilis
90,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Actinia,Actinia equina,Actinia equina
73,Cnidaria,Anthozoa,Actiniaria,,,Acontiaria,Actiniaria
87,Cnidaria,Anthozoa,Actiniaria,,,Actinaria,Actiniaria
88,Cnidaria,Anthozoa,Actiniaria,,,ACTINARIA,Actiniaria
89,Cnidaria,Anthozoa,Actiniaria,,,Actinia,Actiniaria
91,Cnidaria,Anthozoa,Actiniaria,,,Actiniaria,Actiniaria
92,Cnidaria,Anthozoa,Actiniaria,,,ACTINIARIA,Actiniaria
847,Cnidaria,Anthozoa,Actiniaria,,,Athenaria,Actiniaria
848,Cnidaria,Anthozoa,Actiniaria,,,ATHENARIA,Actiniaria
7215,Cnidaria,Anthozoa,Actiniaria,,,Thenaria,Actiniaria
93,Cnidaria,Anthozoa,Actiniaria,Actiniidae,,Actiniidae,Actiniidae
94,Chordata,Actinopterygii,,,,Actinopteri,Actinopterygii
95,Chordata,Actinopterygii,,,,Actinopterygii,Actinopterygii
96,Chordata,Actinopterygii,,,,ACTINOPTERYGII,Actinopterygii
97,Chordata,Actinopterygii,,,,ACTINOPTERYGII Larvae,Actinopterygii
5133,Chordata,Actinopterygii,,,,OSTEICHTHYE,Actinopterygii
7133,Chordata,Actinopterygii,,,,Teleostei,Actinopterygii
98,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Adalaria,Adalaria proxima,Adalaria proxima
99,Cnidaria,Anthozoa,Actiniaria,Hormathiidae,Adamsia,Adamsia,Adamsia
100,Cnidaria,Anthozoa,Actiniaria,Hormathiidae,Adamsia,Adamsia carciniopados,Adamsia palliata
101,Cnidaria,Anthozoa,Actiniaria,Hormathiidae,Adamsia,Adamsia palliata,Adamsia palliata
102,Cnidaria,Anthozoa,Actiniaria,Hormathiidae,Adamsia,Adamsia palliata carciniopados,Adamsia palliata
6739,Mollusca,Bivalvia,Adapedonta,,,Solenoidea,Adapedonta
103,Mollusca,Gastropoda,Neogastropoda,Cancellariidae,Admete,Admete viridula,Admete viridula
4257,Arthropoda,Hexanauplia,Sessilia,Pyrgomatidae,Adna,Megatrema anglicum,Adna anglica
4258,Arthropoda,Hexanauplia,Sessilia,Pyrgomatidae,Adna,Megatremma anglicum,Adna anglica
104,Mollusca,Bivalvia,Lucinida,Thyasiridae,Adontorhina,Adontorhina similis,Adontorhina similis
105,Annelida,Polychaeta,Phyllodocida,Polynoidae,Adyte,Adyte,Adyte
106,Annelida,Polychaeta,Phyllodocida,Polynoidae,Adyte,Adyte assimilis,Adyte hyalina
107,Annelida,Polychaeta,Phyllodocida,Polynoidae,Adyte,Adyte assimils,Adyte hyalina
108,Annelida,Polychaeta,Phyllodocida,Polynoidae,Adyte,Adyte hyalina,Adyte hyalina
110,Arthropoda,Malacostraca,Isopoda,Aegidae,Aega,Aega crenulata,Aega crenulata
111,Arthropoda,Malacostraca,Isopoda,Aegidae,,Aegidae,Aegidae
112,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Aeginella,Aeginella spinosa,Aeginella spinosa
113,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Aeginina,Aeginina echinata,Aeginina longicornis
114,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Aeginina,Aeginina longicornis,Aeginina longicornis
115,Arthropoda,Malacostraca,Isopoda,Aegidae,Aegiochus,Aegiochus ventrosa,Aegiochus ventrosa
116,Mollusca,Gastropoda,Nudibranchia,Aegiridae,Aegires,Aegires punctilucens,Aegires punctilucens
118,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Aeolidia,Aeolidia,Aeolidia
122,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Aeolidia,Aeolidiasp,Aeolidia
121,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Aeolidia,Aeolidia papillosa,Aeolidia papillosa
123,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Aeolidiella,Aeolidiella,Aeolidiella
124,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Aeolidiella,Aeolidiella sanguinea,Aeolidiella sanguinea
125,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,,Aeolidiidae,Aeolidiidae
117,,,,,,AEOLIDACEA,Aeolidioidea
128,Mollusca,Bivalvia,Pectinida,Pectinidae,Aequipecten,Aequipecten,Aequipecten
129,Mollusca,Bivalvia,Pectinida,Pectinidae,Aequipecten,Aequipecten Chlamys opercularis,Aequipecten opercularis
1520,Mollusca,Bivalvia,Pectinida,Pectinidae,Aequipecten,Chlamys tigerina,Aequipecten
130,Mollusca,Bivalvia,Pectinida,Pectinidae,Aequipecten,Aequipecten opercularis,Aequipecten opercularis
1518,Mollusca,Bivalvia,Pectinida,Pectinidae,Aequipecten,Chlamys opercularis,Aequipecten opercularis
131,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,Aequorea,Aequorea
132,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,Aeshna,Aeshna
133,Bryozoa,Gymnolaemata,Cheilostomatida,Aeteidae,Aetea,Aetea,Aetea
134,Bryozoa,Gymnolaemata,Cheilostomatida,Aeteidae,Aetea,Aetea anguina,Aetea anguina
135,Bryozoa,Gymnolaemata,Cheilostomatida,Aeteidae,Aetea,Aetea sica,Aetea sica
136,Bryozoa,Gymnolaemata,Cheilostomatida,Aeteidae,Aetea,Aetea truncata,Aetea truncata
137,Arthropoda,Malacostraca,Tanaidacea,Agathotanaidae,,Agathotanaidae,Agathotanaidae
138,Arthropoda,Malacostraca,Tanaidacea,Agathotanaidae,Agathotanais,Agathotanais ingolfi,Agathotanais ingolfi
139,Mollusca,Gastropoda,Cephalaspidea,Aglajidae,,Aglajidae,Aglajidae
140,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Aglaophamus,Aglaophamus,Aglaophamus
141,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Aglaophamus,Aglaophamus agilis,Aglaophamus agilis
142,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Aglaophamus,Aglaophamus agiliserly rubella,Aglaophamus agilis
145,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Aglaophamus,Aglaophamus rubella,Aglaophamus agilis
143,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Aglaophamus,Aglaophamus malmgreni,Aglaophamus malmgreni
144,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Aglaophamus,Aglaophamus pulcher,Aglaophamus pulcher
4745,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Aglaophamus,Nephtys pulchra,Aglaophamus pulcher
146,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia,Aglaophenia
147,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia kirchenpaueri,Aglaophenia kirchenpaueri
148,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia parvula,Aglaophenia parvula
149,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia pluma,Aglaophenia pluma
150,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia tubiformis,Aglaophenia tubiformis
151,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia tubulifera,Aglaophenia tubulifera
152,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,,Aglaopheniidae,Aglaopheniidae
153,Rhodophyta,Florideophyceae,Ceramiales,Callithamniaceae,Aglaothamnion,Aglaothamnion,Aglaothamnion
154,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Agonus,Agonus,Agonus
155,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Agonus,Agonus cataphractus,Agonus cataphractus
156,Arthropoda,Malacostraca,Tanaidacea,Akanthophoreidae,Akanthophoreus,Akanthophoreus gracilis,Akanthophoreus gracilis
3737,Arthropoda,Malacostraca,Tanaidacea,Leptognathiidae,Akanthophoreus,Leptognathia gracilis,Akanthophoreus gracilis
158,Mollusca,Gastropoda,Aplysiida,Akeridae,Akera,Akera bullata,Akera bullata
160,Annelida,Clitellata,Haplotaxida,Naididae,Aktedrilus,Aktedrilus monospermathecus,Aktedrilus monospermathecus
161,Cnidaria,Anthozoa,Alcyonacea,,,Alcyonacea,Alcyonacea
162,Cnidaria,Anthozoa,Alcyonacea,,,ALCYONACEA,Alcyonacea
164,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,Alcyonidioides,Alcyonidioides mytili,Alcyonidioides mytili
174,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,Alcyonidioides,Alcyonidium mytili,Alcyonidioides mytili
165,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,Alcyonidium,Alcyonidium,Alcyonidium
175,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,Alcyonidium,Alcyonidiumum,Alcyonidium
166,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,Alcyonidium,Alcyonidium albidum,Alcyonidium albidum
167,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,Alcyonidium,Alcyonidium albidum albidum,Alcyonidium albidum
168,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,Alcyonidium,Alcyonidium cellarioides,Alcyonidium cellarioides
169,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,Alcyonidium,Alcyonidium condylocinereum,Alcyonidium condylocinereum
170,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,Alcyonidium,Alcyonidium diaphanum,Alcyonidium diaphanum
171,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,Alcyonidium,Alcyonidium gelatinosum,Alcyonidium gelatinosum
172,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,Alcyonidium,Alcyonidium hirsutum,Alcyonidium hirsutum
173,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,Alcyonidium,Alcyonidium mamillatum,Alcyonidium mamillatum
176,Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,Alcyonium,Alcyonium,Alcyonium
5365,Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,Alcyonium,Parerythropodium coralloides,Alcyonium coralloides
177,Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,Alcyonium,Alcyonium digitatum,Alcyonium digitatum
178,Mollusca,Gastropoda,,Limapontiidae,Alderia,Alderia modesta,Alderia modesta
179,Bryozoa,Gymnolaemata,Cheilostomatida,Calloporidae,Alderina,Alderina imbellis,Alderina imbellis
180,Mollusca,Gastropoda,Nudibranchia,Cadlinidae,Aldisa,Aldisa zetlandica,Aldisa zetlandica
181,Annelida,Polychaeta,Phyllodocida,Polynoidae,Alentia,Alentia gelatinosa,Alentia gelatinosa
182,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,Alitta grandis,Alitta grandis
183,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,Alitta succinea,Alitta succinea
184,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,Alitta virens,Alitta virens
185,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,Alitta virens Neathes,Alitta virens
186,Annelida,Polychaeta,Terebellida,Ampharetidae,Alkmaria,Alkmaria romijni,Alkmaria romijni
187,Arthropoda,Malacostraca,Amphipoda,Melitidae,Allomelita,Allomelita pellucida,Allomelita pellucida
188,Arthropoda,Malacostraca,Decapoda,Alpheidae,,Alpheidae,Alpheidae
189,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,Alpheus,Alpheus
190,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,Alpheus glaber,Alpheus glaber
191,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,Alpheus macrocheles,Alpheus macrocheles
192,Mollusca,Bivalvia,,Lasaeidae,Altenaeum,Altenaeum dawsoni,Altenaeum dawsoni
193,Arthropoda,Hexanauplia,Harpacticoida,Peltidiidae,Alteutha,Alteutha,Alteutha
194,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,Alvania,Alvania
196,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,Alvania beanii,Alvania beanii
197,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,Alvania cancellata,Alvania cancellata
198,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,Alvania carinata,Alvania carinata
199,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,Alvania cimicoides,Alvania cimicoides
200,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,Alvania jeffreysi,Alvania jeffreysi
201,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,Alvania lactea,Alvania lactea
202,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,Alvania punctura,Alvania punctura
204,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,Alvania subsoluta,Alvania subsoluta
195,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,Alvania abyssicola,Alvania testae
205,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,Alvania testae,Alvania testae
206,Foraminifera,Globothalamea,Loftusiida,Cyclamminidae,Alveolophragmium,Alveolophragmium,Alveolophragmium
4208,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvinia,Manzonia zetlandica,Alvinia zetlandica
207,Annelida,Polychaeta,Terebellida,Terebellidae,Amaeana,Amaeana,Amaeana
208,Annelida,Polychaeta,Terebellida,Terebellidae,Amaeana,Amaeana trilobata,Amaeana trilobata
209,Annelida,Polychaeta,Terebellida,Terebellidae,Amaeana,Amaena trilobata,Amaeana trilobata
210,Annelida,Polychaeta,Terebellida,Ampharetidae,Amage,Amage,Amage
211,Annelida,Polychaeta,Terebellida,Ampharetidae,Amage,Amage adspersa,Amage adspersa
212,Annelida,Polychaeta,Terebellida,Ampharetidae,Amage,Amage auricula,Amage auricula
213,Annelida,Polychaeta,Terebellida,Ampharetidae,Amage,Amage gallasii,Amage gallasii
214,Annelida,Polychaeta,Terebellida,Ampharetidae,Amage,Amage scotica,Amage scotica
215,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Amathia,Amathia,Amathia
1056,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Amathia,Bowerbankia,Amathia
1057,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Amathia,Bowerbankia citrina,Amathia citrina
1058,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Amathia,Bowerbankia citrina pustulosa,Amathia citrina
216,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Amathia,Amathia gracilis,Amathia gracilis
1059,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Amathia,Bowerbankia gracilis,Amathia gracilis
1060,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Amathia,Bowerbankia imbricata,Amathia imbricata
217,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Amathia,Amathia lendigera,Amathia lendigera
1061,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Amathia,Bowerbankia pustulosa,Amathia pustulosa
218,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Amathia,Amathia semiconvoluta,Amathia semiconvoluta
219,Arthropoda,Malacostraca,Amphipoda,Amathillopsidae,Amathillopsis,Amathillopsis spinigera,Amathillopsis spinigera
220,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Amauropsis,Amauropsis islandica,Amauropsis islandica
221,Arthropoda,Malacostraca,Mysida,Mysidae,Amblyops,Amblyops abbreviatus,Amblyops abbreviatus
222,Annelida,Polychaeta,Phyllodocida,Syllidae,Amblyosyllis,Amblyosyllis,Amblyosyllis
223,Annelida,Polychaeta,Phyllodocida,Syllidae,Amblyosyllis,Amblyosyllis formosa,Amblyosyllis formosa
224,Annelida,Polychaeta,Phyllodocida,Syllidae,Amblyosyllis,Ambylosyllis formosa,Amblyosyllis formosa
225,Arthropoda,Hexanauplia,Harpacticoida,Ameiridae,Ameira,Ameira,Ameira
226,Arthropoda,Hexanauplia,Harpacticoida,Ameiridae,Ameira,Ameira longipes,Ameira longipes
227,Arthropoda,Hexanauplia,Harpacticoida,Ameiridae,Ameira,Ameira minuta,Ameira minuta
228,Arthropoda,Hexanauplia,Harpacticoida,Ameiridae,Ameira,Ameira parvula,Ameira parvula
229,Arthropoda,Hexanauplia,Harpacticoida,Ameiridae,Ameira,Ameira pusilla,Ameira pusilla
230,Arthropoda,Hexanauplia,Harpacticoida,Ameiridae,,Ameiridae,Ameiridae
231,Arthropoda,Hexanauplia,Harpacticoida,Ameiridae,Ameiropsis,Ameiropsis brevicornis,Ameiropsis brevicornis
232,Arthropoda,Hexanauplia,Harpacticoida,Ameiridae,Ameiropsis,Ameiropsis mixta,Ameiropsis mixta
233,Arthropoda,Hexanauplia,Scalpelliformes,Scalpellidae,Amigdoscalpellum,Amigdoscalpellum hispidum,Amigdoscalpellum hispidum
234,Bryozoa,Gymnolaemata,Cheilostomatida,Calloporidae,Ammatophora,Ammatophora nodulosa,Ammatophora nodulosa
235,Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,Ammodytes,Ammodytes
236,Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,Ammodytes marinus,Ammodytes marinus
237,Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,Ammodytes tobianus,Ammodytes tobianus
238,Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,Ammodyte tobianus,Ammodytes tobianus
239,Chordata,Actinopterygii,Perciformes,Ammodytidae,,Ammodytidae,Ammodytidae
